apartment_id,building_id,location_code,apartment_type,activation_date,status
APT-007-028,BLDG-007,HYD-EAST,3BHK,2026-04-18,ACTIVE
APT-007-029,BLDG-007,HYD-EAST,2BHK,2026-04-28,ACTIVE
APT-007-030,BLDG-007,HYD-EAST,1BHK,2026-03-21,ACTIVE
APT-007-031,BLDG-007,HYD-EAST,3BHK,2026-04-27,ACTIVE
APT-007-032,BLDG-007,HYD-EAST,1BHK,2026-03-17,ACTIVE
APT-007-033,BLDG-007,HYD-EAST,3BHK,2026-01-11,ACTIVE
APT-007-034,BLDG-007,HYD-EAST,3BHK,2026-01-18,ACTIVE
APT-007-035,BLDG-007,HYD-EAST,1BHK,2026-01-24,ACTIVE
APT-007-036,BLDG-007,HYD-EAST,3BHK,2026-02-03,ACTIVE
APT-007-037,BLDG-007,HYD-EAST,2BHK,2026-02-11,ACTIVE
APT-007-038,BLDG-007,HYD-EAST,2.5BHK,2026-02-28,ACTIVE
APT-007-039,BLDG-007,HYD-EAST,3BHK,2026-02-13,ACTIVE
APT-007-040,BLDG-007,HYD-EAST,3BHK,2026-02-05,ACTIVE
APT-007-041,BLDG-007,HYD-EAST,1BHK,2026-02-02,ACTIVE
APT-007-042,BLDG-007,HYD-EAST,1BHK,2026-03-02,ACTIVE
APT-007-043,BLDG-007,HYD-EAST,1BHK,2026-04-06,ACTIVE
APT-007-044,BLDG-007,HYD-EAST,2BHK,2026-02-14,ACTIVE
APT-007-045,BLDG-007,HYD-EAST,1BHK,2026-03-25,ACTIVE
APT-007-046,BLDG-007,HYD-EAST,1BHK,2026-04-10,ACTIVE
APT-007-047,BLDG-007,HYD-EAST,1BHK,2026-04-07,ACTIVE
APT-007-048,BLDG-007,HYD-EAST,2BHK,2026-02-01,ACTIVE
APT-007-049,BLDG-007,HYD-EAST,1BHK,2026-04-18,ACTIVE
APT-007-050,BLDG-007,HYD-EAST,2BHK,2026-03-21,ACTIVE
APT-008-001,BLDG-008,HYD-WEST,2BHK,2026-01-31,ACTIVE
APT-008-002,BLDG-008,HYD-WEST,1BHK,2026-03-02,ACTIVE
APT-008-003,BLDG-008,HYD-WEST,2BHK,2026-03-14,ACTIVE
APT-008-004,BLDG-008,HYD-WEST,2.5BHK,2026-03-01,ACTIVE
APT-008-005,BLDG-008,HYD-WEST,2.5BHK,2026-04-09,ACTIVE
APT-008-006,BLDG-008,HYD-WEST,1BHK,2026-01-22,ACTIVE
APT-008-007,BLDG-008,HYD-WEST,2BHK,2026-04-10,ACTIVE
APT-008-008,BLDG-008,HYD-WEST,1BHK,2026-02-09,ACTIVE
APT-008-009,BLDG-008,HYD-WEST,1BHK,2026-03-16,ACTIVE
APT-008-010,BLDG-008,HYD-WEST,2.5BHK,2026-04-29,ACTIVE
APT-008-011,BLDG-008,HYD-WEST,3BHK,2026-03-15,ACTIVE
APT-008-012,BLDG-008,HYD-WEST,2BHK,2026-02-20,ACTIVE
APT-008-013,BLDG-008,HYD-WEST,2BHK,2026-01-10,ACTIVE
APT-008-014,BLDG-008,HYD-WEST,2.5BHK,2026-01-14,ACTIVE
APT-008-015,BLDG-008,HYD-WEST,1BHK,2026-04-19,ACTIVE
APT-008-016,BLDG-008,HYD-WEST,1BHK,2026-04-12,ACTIVE
APT-008-017,BLDG-008,HYD-WEST,3BHK,2026-02-14,ACTIVE
APT-008-018,BLDG-008,HYD-WEST,2.5BHK,2026-03-26,ACTIVE
APT-008-019,BLDG-008,HYD-WEST,2.5BHK,2026-01-09,ACTIVE
APT-008-020,BLDG-008,HYD-WEST,3BHK,2026-01-02,ACTIVE
APT-008-021,BLDG-008,HYD-WEST,3BHK,2026-04-16,ACTIVE
APT-008-022,BLDG-008,HYD-WEST,3BHK,2026-01-14,ACTIVE
APT-008-023,BLDG-008,HYD-WEST,3BHK,2026-02-16,ACTIVE
APT-008-024,BLDG-008,HYD-WEST,2BHK,2026-04-01,ACTIVE
APT-008-025,BLDG-008,HYD-WEST,2BHK,2026-02-25,ACTIVE
APT-008-026,BLDG-008,HYD-WEST,2.5BHK,2026-04-04,ACTIVE
APT-008-027,BLDG-008,HYD-WEST,3BHK,2026-03-20,ACTIVE
APT-008-028,BLDG-008,HYD-WEST,3BHK,2026-03-01,ACTIVE
APT-008-029,BLDG-008,HYD-WEST,2.5BHK,2026-04-16,ACTIVE
APT-008-030,BLDG-008,HYD-WEST,2BHK,2026-02-11,ACTIVE
APT-008-031,BLDG-008,HYD-WEST,1BHK,2026-04-17,ACTIVE
APT-008-032,BLDG-008,HYD-WEST,3BHK,2026-02-05,ACTIVE
APT-008-033,BLDG-008,HYD-WEST,3BHK,2026-02-01,ACTIVE
APT-008-034,BLDG-008,HYD-WEST,3BHK,2026-03-14,ACTIVE
APT-008-035,BLDG-008,HYD-WEST,1BHK,2026-02-13,ACTIVE
APT-008-036,BLDG-008,HYD-WEST,2.5BHK,2026-03-05,ACTIVE
APT-008-037,BLDG-008,HYD-WEST,3BHK,2026-01-24,ACTIVE
APT-008-038,BLDG-008,HYD-WEST,2.5BHK,2026-01-28,ACTIVE
APT-008-039,BLDG-008,HYD-WEST,2.5BHK,2026-04-13,ACTIVE
APT-008-040,BLDG-008,HYD-WEST,2.5BHK,2026-02-13,ACTIVE
APT-008-041,BLDG-008,HYD-WEST,2.5BHK,2026-04-23,ACTIVE
APT-008-042,BLDG-008,HYD-WEST,1BHK,2026-03-13,ACTIVE
APT-008-043,BLDG-008,HYD-WEST,2BHK,2026-03-08,ACTIVE
APT-008-044,BLDG-008,HYD-WEST,2BHK,2026-01-11,ACTIVE
APT-008-045,BLDG-008,HYD-WEST,3BHK,2026-04-03,ACTIVE
APT-008-046,BLDG-008,HYD-WEST,2BHK,2026-03-04,ACTIVE
APT-008-047,BLDG-008,HYD-WEST,3BHK,2026-03-30,ACTIVE
APT-008-048,BLDG-008,HYD-WEST,3BHK,2026-03-24,ACTIVE
APT-008-049,BLDG-008,HYD-WEST,1BHK,2026-02-27,ACTIVE
APT-008-050,BLDG-008,HYD-WEST,2.5BHK,2026-01-12,ACTIVE
APT-009-001,BLDG-009,HYD-CENTRAL,3BHK,2026-01-29,ACTIVE
APT-009-002,BLDG-009,HYD-CENTRAL,2BHK,2026-03-30,ACTIVE
APT-009-003,BLDG-009,HYD-CENTRAL,2.5BHK,2026-02-09,ACTIVE
APT-009-004,BLDG-009,HYD-CENTRAL,2.5BHK,2026-03-02,ACTIVE
APT-009-005,BLDG-009,HYD-CENTRAL,2.5BHK,2026-02-24,ACTIVE
APT-009-006,BLDG-009,HYD-CENTRAL,3BHK,2026-02-15,ACTIVE
APT-009-007,BLDG-009,HYD-CENTRAL,2.5BHK,2026-02-04,ACTIVE
APT-009-008,BLDG-009,HYD-CENTRAL,2BHK,2026-02-02,ACTIVE
APT-009-009,BLDG-009,HYD-CENTRAL,2BHK,2026-01-16,ACTIVE
APT-009-010,BLDG-009,HYD-CENTRAL,1BHK,2026-02-10,ACTIVE
APT-009-011,BLDG-009,HYD-CENTRAL,2BHK,2026-04-06,ACTIVE
APT-009-012,BLDG-009,HYD-CENTRAL,2BHK,2026-01-25,ACTIVE
APT-009-013,BLDG-009,HYD-CENTRAL,3BHK,2026-04-05,ACTIVE
APT-009-014,BLDG-009,HYD-CENTRAL,2.5BHK,2026-02-05,ACTIVE
APT-009-015,BLDG-009,HYD-CENTRAL,2BHK,2026-01-13,ACTIVE
APT-009-016,BLDG-009,HYD-CENTRAL,2BHK,2026-02-07,ACTIVE
APT-009-017,BLDG-009,HYD-CENTRAL,2BHK,2026-02-16,ACTIVE
APT-009-018,BLDG-009,HYD-CENTRAL,1BHK,2026-02-08,ACTIVE
APT-009-019,BLDG-009,HYD-CENTRAL,2BHK,2026-04-01,ACTIVE
APT-009-020,BLDG-009,HYD-CENTRAL,1BHK,2026-02-05,ACTIVE
APT-009-021,BLDG-009,HYD-CENTRAL,2.5BHK,2026-01-07,ACTIVE
APT-009-022,BLDG-009,HYD-CENTRAL,2BHK,2026-03-31,ACTIVE
APT-009-023,BLDG-009,HYD-CENTRAL,3BHK,2026-03-23,ACTIVE
APT-009-024,BLDG-009,HYD-CENTRAL,1BHK,2026-01-14,ACTIVE
APT-009-025,BLDG-009,HYD-CENTRAL,2.5BHK,2026-03-15,ACTIVE
APT-009-026,BLDG-009,HYD-CENTRAL,3BHK,2026-03-02,ACTIVE
APT-009-027,BLDG-009,HYD-CENTRAL,2.5BHK,2026-02-26,ACTIVE
APT-009-028,BLDG-009,HYD-CENTRAL,1BHK,2026-01-24,ACTIVE
APT-009-029,BLDG-009,HYD-CENTRAL,3BHK,2026-02-02,ACTIVE
APT-009-030,BLDG-009,HYD-CENTRAL,1BHK,2026-01-15,ACTIVE
APT-009-031,BLDG-009,HYD-CENTRAL,3BHK,2026-02-21,ACTIVE
APT-009-032,BLDG-009,HYD-CENTRAL,1BHK,2026-01-10,ACTIVE
APT-009-033,BLDG-009,HYD-CENTRAL,2BHK,2026-01-20,ACTIVE
APT-009-034,BLDG-009,HYD-CENTRAL,2.5BHK,2026-04-14,ACTIVE
APT-009-035,BLDG-009,HYD-CENTRAL,2BHK,2026-01-11,ACTIVE
APT-009-036,BLDG-009,HYD-CENTRAL,3BHK,2026-01-16,ACTIVE
APT-009-037,BLDG-009,HYD-CENTRAL,2BHK,2026-03-19,ACTIVE
APT-009-038,BLDG-009,HYD-CENTRAL,3BHK,2026-04-10,ACTIVE
APT-009-039,BLDG-009,HYD-CENTRAL,3BHK,2026-02-27,ACTIVE
APT-009-040,BLDG-009,HYD-CENTRAL,3BHK,2026-02-08,ACTIVE
APT-009-041,BLDG-009,HYD-CENTRAL,1BHK,2026-02-09,ACTIVE
APT-009-042,BLDG-009,HYD-CENTRAL,1BHK,2026-03-20,ACTIVE
APT-009-043,BLDG-009,HYD-CENTRAL,2BHK,2026-04-08,ACTIVE
APT-009-044,BLDG-009,HYD-CENTRAL,2BHK,2026-03-22,ACTIVE
APT-009-045,BLDG-009,HYD-CENTRAL,1BHK,2026-02-03,ACTIVE
APT-009-046,BLDG-009,HYD-CENTRAL,2BHK,2026-01-21,ACTIVE
APT-009-047,BLDG-009,HYD-CENTRAL,1BHK,2026-01-23,ACTIVE
APT-009-048,BLDG-009,HYD-CENTRAL,1BHK,2026-01-21,ACTIVE
APT-009-049,BLDG-009,HYD-CENTRAL,3BHK,2026-02-22,ACTIVE
APT-009-050,BLDG-009,HYD-CENTRAL,3BHK,2026-03-30,ACTIVE
APT-010-001,BLDG-010,HYD-SOUTH,1BHK,2026-02-07,ACTIVE
APT-010-002,BLDG-010,HYD-SOUTH,2.5BHK,2026-01-30,ACTIVE
APT-010-003,BLDG-010,HYD-SOUTH,2.5BHK,2026-04-01,ACTIVE
APT-010-004,BLDG-010,HYD-SOUTH,3BHK,2026-03-31,ACTIVE
APT-010-005,BLDG-010,HYD-SOUTH,2BHK,2026-01-10,ACTIVE
APT-010-006,BLDG-010,HYD-SOUTH,2.5BHK,2026-04-29,ACTIVE
APT-010-007,BLDG-010,HYD-SOUTH,2BHK,2026-04-11,ACTIVE
APT-010-008,BLDG-010,HYD-SOUTH,1BHK,2026-02-24,ACTIVE
APT-010-009,BLDG-010,HYD-SOUTH,2BHK,2026-03-11,ACTIVE
APT-010-010,BLDG-010,HYD-SOUTH,2BHK,2026-03-24,ACTIVE
APT-010-011,BLDG-010,HYD-SOUTH,2.5BHK,2026-04-27,ACTIVE
APT-010-012,BLDG-010,HYD-SOUTH,2BHK,2026-04-16,ACTIVE
APT-010-013,BLDG-010,HYD-SOUTH,1BHK,2026-01-10,ACTIVE
APT-010-014,BLDG-010,HYD-SOUTH,2.5BHK,2026-01-22,ACTIVE
APT-010-015,BLDG-010,HYD-SOUTH,2.5BHK,2026-03-18,ACTIVE
APT-010-016,BLDG-010,HYD-SOUTH,1BHK,2026-02-26,ACTIVE
APT-010-017,BLDG-010,HYD-SOUTH,2.5BHK,2026-03-01,ACTIVE
APT-010-018,BLDG-010,HYD-SOUTH,3BHK,2026-03-31,ACTIVE
APT-010-019,BLDG-010,HYD-SOUTH,2.5BHK,2026-05-01,ACTIVE
APT-010-020,BLDG-010,HYD-SOUTH,3BHK,2026-03-06,ACTIVE
APT-010-021,BLDG-010,HYD-SOUTH,1BHK,2026-02-26,ACTIVE
APT-010-022,BLDG-010,HYD-SOUTH,1BHK,2026-03-18,ACTIVE
APT-010-023,BLDG-010,HYD-SOUTH,3BHK,2026-04-24,ACTIVE
APT-010-024,BLDG-010,HYD-SOUTH,2.5BHK,2026-04-05,ACTIVE
APT-010-025,BLDG-010,HYD-SOUTH,2.5BHK,2026-03-19,ACTIVE
APT-010-026,BLDG-010,HYD-SOUTH,1BHK,2026-01-04,ACTIVE
APT-010-027,BLDG-010,HYD-SOUTH,1BHK,2026-01-30,ACTIVE
APT-010-028,BLDG-010,HYD-SOUTH,2.5BHK,2026-04-08,ACTIVE
APT-010-029,BLDG-010,HYD-SOUTH,1BHK,2026-03-15,ACTIVE
APT-010-030,BLDG-010,HYD-SOUTH,2BHK,2026-04-08,ACTIVE
APT-010-031,BLDG-010,HYD-SOUTH,3BHK,2026-03-02,ACTIVE
APT-010-032,BLDG-010,HYD-SOUTH,2.5BHK,2026-04-28,ACTIVE
APT-010-033,BLDG-010,HYD-SOUTH,3BHK,2026-01-24,ACTIVE
APT-010-034,BLDG-010,HYD-SOUTH,3BHK,2026-03-23,ACTIVE
APT-010-035,BLDG-010,HYD-SOUTH,3BHK,2026-01-12,ACTIVE
APT-010-036,BLDG-010,HYD-SOUTH,3BHK,2026-02-14,ACTIVE
APT-010-037,BLDG-010,HYD-SOUTH,2.5BHK,2026-02-12,ACTIVE
APT-010-038,BLDG-010,HYD-SOUTH,1BHK,2026-03-27,ACTIVE
APT-010-039,BLDG-010,HYD-SOUTH,2BHK,2026-04-20,ACTIVE
APT-010-040,BLDG-010,HYD-SOUTH,3BHK,2026-02-12,ACTIVE
APT-010-041,BLDG-010,HYD-SOUTH,3BHK,2026-03-30,ACTIVE
APT-010-042,BLDG-010,HYD-SOUTH,3BHK,2026-02-06,ACTIVE
APT-010-043,BLDG-010,HYD-SOUTH,1BHK,2026-04-15,ACTIVE
APT-010-044,BLDG-010,HYD-SOUTH,1BHK,2026-02-28,ACTIVE
APT-010-045,BLDG-010,HYD-SOUTH,2.5BHK,2026-02-10,ACTIVE
APT-010-046,BLDG-010,HYD-SOUTH,1BHK,2026-02-11,ACTIVE
APT-010-047,BLDG-010,HYD-SOUTH,3BHK,2026-04-09,ACTIVE
APT-010-048,BLDG-010,HYD-SOUTH,1BHK,2026-04-21,ACTIVE
APT-010-049,BLDG-010,HYD-SOUTH,3BHK,2026-03-26,ACTIVE
APT-010-050,BLDG-010,HYD-SOUTH,1BHK,2026-02-22,ACTIVE
